number,last_number,last_he
173,088,16.0
088,428,14.0
428,797,23.0
797,142,7.0
142,559,19.0
559,683,17.0
683,230,5.0
230,794,20.0
794,910,10.0
910,131,5.0
131,266,14.0
266,538,16.0
538,746,17.0
746,587,20.0
587,370,10.0
370,755,17.0
755,501,6.0
501,118,10.0
118,435,12.0
435,272,11.0
272,644,14.0
644,329,14.0
329,147,12.0
147,611,8.0
611,787,22.0
787,609,15.0
609,589,22.0
589,542,11.0
542,156,12.0
156,322,7.0
322,821,11.0
821,469,19.0
469,513,9.0
513,186,15.0
186,692,17.0
692,397,19.0
397,052,7.0
052,497,20.0
497,799,25.0
799,798,24.0
798,774,18.0
774,178,16.0
178,731,11.0
731,906,15.0
906,407,11.0
407,349,16.0
349,288,18.0
288,388,19.0
388,108,9.0
108,171,9.0
171,165,12.0
165,481,13.0
481,432,9.0
432,454,13.0
454,061,7.0
061,319,13.0
319,924,15.0
924,130,4.0
130,837,18.0
837,565,16.0
565,216,9.0
216,870,15.0
870,203,5.0
203,708,15.0
708,088,16.0
088,787,22.0
787,289,19.0
289,256,13.0
256,081,9.0
081,347,14.0
347,380,11.0
380,682,16.0
682,837,18.0
837,316,10.0
316,845,17.0
845,340,7.0
340,810,9.0
810,883,19.0
883,926,17.0
926,777,21.0
777,331,7.0
331,111,3.0
111,289,19.0
289,881,17.0
881,513,9.0
513,537,15.0
537,895,22.0
895,922,13.0
922,935,17.0
935,036,9.0
036,954,18.0
954,344,11.0
344,387,18.0
387,691,16.0
691,982,19.0
982,634,13.0
634,558,18.0
558,617,14.0
617,947,20.0
947,669,21.0
669,375,15.0
375,563,14.0
563,709,16.0
709,261,9.0
261,264,12.0
264,557,17.0
557,457,16.0
457,085,13.0
085,536,14.0
536,349,16.0
349,659,20.0
659,728,17.0
728,001,1.0
001,621,9.0
621,648,18.0
648,004,4.0
004,813,12.0
813,532,10.0
532,809,17.0
809,474,15.0
474,010,1.0
010,300,3.0
300,094,13.0
094,087,15.0
087,289,19.0
289,657,18.0
657,098,17.0
098,067,13.0
067,983,20.0
983,551,11.0
551,636,15.0
636,251,8.0
251,626,14.0
626,603,9.0
603,351,9.0
351,364,13.0
364,639,18.0
639,623,11.0
623,215,8.0
215,506,11.0
506,749,20.0
749,720,9.0
720,631,10.0
631,642,12.0
642,828,18.0
828,953,17.0
953,579,21.0
579,715,13.0
715,629,17.0
629,750,12.0
750,556,16.0
556,470,11.0
470,977,23.0
977,967,22.0
967,160,7.0
160,030,3.0
030,499,22.0
499,173,11.0
173,014,5.0
014,648,18.0
648,391,13.0
391,697,22.0
697,587,20.0
587,821,11.0
821,425,11.0
425,881,17.0
881,203,5.0
203,578,20.0
578,628,16.0
628,829,19.0
829,950,14.0
950,452,11.0
452,756,18.0
756,626,14.0
626,418,13.0
418,042,6.0
042,045,9.0
045,614,11.0
614,615,12.0
615,350,8.0
350,510,6.0
510,379,19.0
379,150,6.0
150,005,5.0
005,736,16.0
736,375,15.0
375,061,7.0
061,893,20.0
893,503,8.0
503,556,16.0
556,760,13.0
760,048,12.0
048,807,15.0
807,141,6.0
141,570,12.0
570,473,14.0
473,359,17.0
359,329,14.0
329,498,21.0
498,761,14.0
761,724,13.0
724,336,12.0
336,102,3.0
102,235,10.0
235,338,14.0
338,886,22.0
886,463,13.0
463,513,9.0
513,819,18.0
819,117,9.0
117,530,8.0
530,174,12.0
174,489,21.0
489,941,14.0
941,902,11.0
902,157,13.0
157,869,23.0
869,137,11.0
137,794,20.0
794,477,18.0
477,340,7.0
340,363,12.0
363,022,4.0
022,324,9.0
324,289,19.0
289,669,21.0
669,329,14.0
329,258,15.0
258,514,10.0
514,335,11.0
335,923,14.0
923,087,15.0
087,636,15.0
636,569,20.0
569,386,17.0
386,091,10.0
091,454,13.0
454,937,19.0
937,536,14.0
536,133,7.0
133,447,15.0
447,068,14.0
068,537,15.0
537,643,13.0
643,698,23.0
698,617,14.0
617,691,16.0
691,966,21.0
966,297,18.0
297,245,11.0
245,356,14.0
356,033,6.0
033,020,2.0
020,361,10.0
361,832,13.0
832,689,23.0
689,906,15.0
906,181,10.0
181,761,14.0
761,498,21.0
498,978,24.0
978,930,12.0
930,043,7.0
043,003,3.0
003,999,27.0
999,441,9.0
441,615,12.0
615,955,19.0
955,720,9.0
720,940,13.0
940,218,11.0
218,692,17.0
692,663,15.0
663,336,12.0
336,847,19.0
847,717,15.0
717,222,6.0
222,573,15.0
573,345,12.0
345,270,9.0
270,919,19.0
919,665,17.0
665,038,11.0
038,243,9.0
243,241,7.0
241,136,10.0
136,209,11.0
209,231,6.0
231,102,3.0
102,671,14.0
671,668,20.0
668,099,18.0
099,513,9.0
513,186,15.0
186,903,12.0
903,519,15.0
519,266,14.0
266,549,18.0
549,758,20.0
758,879,24.0
879,369,18.0
369,616,13.0
616,246,12.0
246,785,20.0
785,861,15.0
861,815,14.0
815,275,14.0
275,473,14.0
473,779,23.0
779,567,18.0
567,119,11.0
119,448,16.0
448,858,21.0
858,095,14.0
095,848,20.0
848,339,15.0
339,613,10.0
613,792,18.0
792,525,12.0
525,767,20.0
767,947,20.0
947,723,12.0
723,977,23.0
977,908,17.0
908,160,7.0
160,325,10.0
325,154,10.0
154,369,18.0
369,620,8.0
620,875,20.0
875,541,10.0
541,693,18.0
693,558,18.0
558,347,14.0
347,203,5.0
203,902,11.0
902,527,14.0
527,131,5.0
131,651,12.0
651,684,18.0
684,706,13.0
706,859,22.0
859,695,20.0
695,365,14.0
365,856,19.0
856,676,19.0
676,767,20.0
767,712,10.0
712,328,13.0
328,682,16.0
682,313,7.0
313,828,18.0
828,973,19.0
973,932,14.0
932,647,17.0
647,664,16.0
664,102,3.0
102,992,20.0
992,272,11.0
272,749,20.0
749,179,17.0
179,810,9.0
810,659,20.0
659,401,5.0
401,875,20.0
875,084,12.0
084,746,17.0
746,891,18.0
891,078,15.0
078,858,21.0
858,813,12.0
813,583,16.0
583,021,3.0
021,720,9.0
720,828,18.0
828,393,15.0
393,736,16.0
736,928,19.0
928,326,11.0
326,612,9.0
612,665,17.0
665,647,17.0
647,031,4.0
031,294,15.0
294,094,13.0
094,855,18.0
855,109,10.0
109,726,15.0
726,537,15.0
537,311,5.0
311,666,18.0
666,861,15.0
861,173,11.0
173,698,23.0
698,861,15.0
861,960,15.0
960,162,9.0
162,714,12.0
714,853,16.0
853,901,10.0
901,444,12.0
444,775,19.0
775,705,12.0
705,905,14.0
905,442,10.0
442,804,12.0
804,782,17.0
782,430,7.0
430,913,13.0
913,030,3.0
030,351,9.0
351,490,13.0
490,406,10.0
406,637,16.0
637,280,10.0
280,419,14.0
419,188,17.0
188,543,12.0
543,105,6.0
105,856,19.0
856,771,15.0
771,723,12.0
723,791,17.0
791,300,3.0
300,232,7.0
232,114,6.0
114,979,25.0
979,136,10.0
136,879,24.0
879,710,8.0
710,517,13.0
517,817,16.0
817,420,6.0
420,109,10.0
109,497,20.0
497,241,7.0
241,391,13.0
391,050,5.0
050,921,12.0
921,218,11.0
218,462,12.0
462,959,23.0
959,723,12.0
723,757,19.0
757,669,21.0
669,715,13.0
715,765,18.0
765,285,15.0
285,236,11.0
236,300,3.0
300,285,15.0
285,512,8.0
512,434,11.0
434,131,5.0
131,355,13.0
355,568,19.0
568,609,15.0
609,658,19.0
658,453,12.0
453,902,11.0
902,557,17.0
557,887,23.0
887,898,25.0
898,944,17.0
944,267,15.0
267,934,16.0
934,428,14.0
428,135,9.0
135,938,20.0
938,578,20.0
578,770,14.0
770,203,5.0
203,372,12.0
372,933,15.0
933,672,15.0
672,912,12.0
912,686,20.0
686,095,14.0
095,481,13.0
481,361,10.0
361,234,9.0
234,362,11.0
362,521,8.0
521,639,18.0
639,326,11.0
326,387,18.0
387,951,15.0
951,142,7.0
142,302,5.0
302,856,19.0
856,370,10.0
370,778,22.0
778,284,14.0
284,048,12.0
048,751,13.0
751,237,12.0
237,664,16.0
664,591,15.0
591,389,20.0
389,517,13.0
517,135,9.0
135,937,19.0
937,362,11.0
362,895,22.0
895,952,16.0
952,091,10.0
091,748,19.0
748,598,22.0
598,707,14.0
707,535,13.0
535,885,21.0
885,903,12.0
903,801,9.0
801,265,13.0
265,778,22.0
778,731,11.0
731,857,20.0
857,287,17.0
287,513,9.0
513,911,11.0
911,812,11.0
812,063,9.0
063,369,18.0
369,313,7.0
313,986,23.0
986,716,14.0
716,124,7.0
124,256,13.0
256,354,12.0
354,822,12.0
822,331,7.0
331,344,11.0
344,770,14.0
770,053,8.0
053,070,7.0
070,996,24.0
996,358,16.0
358,827,17.0
827,367,16.0
367,703,10.0
703,681,15.0
681,174,12.0
174,686,20.0
686,466,16.0
466,352,10.0
352,406,10.0
406,567,18.0
567,883,19.0
883,562,13.0
562,741,12.0
741,613,10.0
613,033,6.0
033,228,12.0
228,899,26.0
899,994,22.0
994,148,13.0
148,569,20.0
569,364,13.0
364,159,15.0
159,744,15.0
744,975,21.0
975,276,15.0
276,001,1.0
001,414,9.0
414,694,19.0
694,558,18.0
558,346,13.0
346,881,17.0
881,854,17.0
854,136,10.0
136,471,12.0
471,496,19.0
496,333,9.0
333,312,6.0
312,008,8.0
008,398,20.0
398,797,23.0
797,210,3.0
210,872,17.0
872,285,15.0
285,173,11.0
173,248,14.0
248,935,17.0
935,363,12.0
363,608,14.0
608,707,14.0
707,076,13.0
076,113,5.0
113,739,19.0
739,739,19.0
739,299,20.0
299,549,18.0
549,945,18.0
945,585,18.0
585,698,23.0
698,877,22.0
877,115,7.0
115,614,11.0
614,695,20.0
695,181,10.0
181,119,11.0
119,888,24.0
888,077,14.0
077,359,17.0
359,920,11.0
920,556,16.0
556,482,14.0
482,676,19.0
676,566,17.0
566,055,10.0
055,623,11.0
623,499,22.0
499,878,23.0
878,015,6.0
015,008,8.0
008,045,9.0
045,439,16.0
439,284,14.0
284,509,14.0
509,605,11.0
605,731,11.0
731,814,13.0
814,160,7.0
160,167,14.0
167,745,16.0
745,695,20.0
695,331,7.0
331,266,14.0
266,488,20.0
488,557,17.0
557,725,14.0
725,936,18.0
936,421,7.0
421,524,11.0
524,350,8.0
350,698,23.0
698,809,17.0
809,596,20.0
596,046,10.0
046,407,11.0
407,749,20.0
749,470,11.0
470,593,17.0
593,573,15.0
573,840,12.0
840,305,8.0
305,341,8.0
341,390,12.0
390,518,14.0
518,366,15.0
366,377,17.0
377,697,22.0
697,560,11.0
560,822,12.0
822,105,6.0
105,625,13.0
625,129,12.0
129,735,15.0
735,487,19.0
487,449,17.0
449,020,2.0
020,074,11.0
074,787,22.0
787,576,18.0
576,075,12.0
075,174,12.0
174,882,18.0
882,231,6.0
231,518,14.0
518,910,10.0
910,644,14.0
644,322,7.0
322,577,19.0
577,158,14.0
158,864,18.0
864,975,21.0
975,454,13.0
454,868,22.0
868,143,8.0
143,262,10.0
262,242,8.0
242,102,3.0
102,276,15.0
276,754,16.0
754,652,13.0
652,731,11.0
731,702,9.0
702,278,17.0
278,036,9.0
036,557,17.0
557,945,18.0
945,570,12.0
570,679,22.0
679,861,15.0
861,050,5.0
050,000,0.0
000,480,12.0
480,899,26.0
899,395,17.0
395,134,8.0
134,897,24.0
897,650,11.0
650,624,12.0
624,348,15.0
348,114,6.0
114,237,12.0
237,376,16.0
376,107,8.0
107,272,11.0
272,193,13.0
193,873,18.0
873,259,16.0
259,359,17.0
359,709,16.0
709,250,7.0
250,028,10.0
028,854,17.0
854,893,20.0
893,606,12.0
606,315,9.0
315,817,16.0
817,469,19.0
469,950,14.0
950,221,5.0
221,582,15.0
582,125,8.0
125,909,18.0
909,976,22.0
976,202,4.0
202,169,16.0
169,783,18.0
783,888,24.0
888,246,12.0
246,317,11.0
317,650,11.0
650,779,23.0
779,369,18.0
369,883,19.0
883,110,2.0
110,415,10.0
415,125,8.0
